text,label
For me this should wake people up who are still supporting Bongbong Marcos who saidWhat am I to say sorry about?when asked about all the plunder and atrocities done during the Martial Law eraNever Again Never Forget PH Vote Vote PH Halalan,1
[USERNAME]and[USERNAME] Buti nga si Yorme[USERNAME]umamin s lahat ng mga kaperahan nya e yan Lola Pink Ranger mo may nasabi b sau kung saan galing ung pinangbabayad s rally nyong mga Pink Minions di kaya s ECF din nya nung ? Switch To Isko Kay Isko Posible,1
Norberto Gonzales said in his interview- I think they are trying to fake victory. (Leni's camp)Pinklawan today:- Nagbago ang isip ni ganito - Naconvert ko ung yaya driver kasambahay namin na iboto si VP. -DDS na classmate ko binoto si Leni(at madami pang kwento).,1
grabe mka bashed yung tribo ni bobong sa artista for vp leni kesyo iboboto lang daw para mkabalik ang abs e hindi lang nman abs yung support kay vp my from gma and tvdinAngat Buhay LahatLet Leni Lead,0
Let Leni Lead Angat Buhay Lahat,0
Ako ay isang KAKAMPINK... Kakampi saP-agbabagong I-naasam N-g ating mga K-ababayanLet Leni Kiko Lead,0
PULA ANG KULAY NG MAGNANAKAW TANGINA NYONG MGA BOBO!,1
and Binay is campaigning using the government funds to his own advantage. Tsk. Is this the guy you want to be Pres.?,1
Di ko pa pala last tweet putangina nakakahiya talaga maging pinoy. Damay damay sa katangahan ng mga apologist na to.Marcos MagnanakawMarcos Duwag Leni Kiko Miting De AvancePilipinas Is Pink,1
Binay: No one can equal my track recordvia [USERNAME],0
 [USERNAME] Marcos Number1 Sinungaling Marcos Magnanakaw No To Marcos Duterte,1
Who the hell is Norberto Gonzales?,1
ako: uyang gwapo mo naman. kmuka mo si JB. siya: eh? justin beiber ba? ako: hindi. jejomar binay! ./.,1
[USERNAME] No doubt na yn Abby Binay and VP Binay for 2016. Only Binay In Makati San Ka Pa,0
[USERNAME]and[USERNAME] Here are theprovinces where most voters chose opposition leader Leni Robredo as their president. PHVote We Decide,0
reen [USERNAME] Let Leni Lead elise  [USERNAME] .[USERNAME] in Nacifics Stray Kids in the PNK video,0
Isang linggo na langNakapag desisyon ka na ba? Vote Wisely Halalan,0
VP Binay: I also want to reduce corporate taxwhich is also one of the biggest in the ASEAN Bilang Pilipino | [USERNAME],0
Norberto Gonzales is PGMA man.,0
Mahigpit Na YakapKakampink,0
[USERNAME] BBM SARA,0
Leody De Guzman pleaded with voters to elect a president coming from the labor sector to experience an actual change in societyPili Pinas Debates,0
[USERNAME] Former Defense chief Norberto Gonzales says a presidential candidate asked him to withdraw from the race.His answer: : / :,0
JS: gives invitation for presidential interviews show Marcos: Marcos Duwag Marcos Sinungaling Marcos Magnanakaw Ba Backout Muli,1
[USERNAME] Lao ka mag magalitidhilyears mo makikita si BBM khit aaan matandang BASTOS !! Bagay lng na Hindi ka pinilidhil DEMONYO KA PAREHO LNG KAYO NI LEODY DE GUZMANAT ESPIRITUNAKAKA SUKA UGALI NIYO,1
Mga screenshots ko lumalabas loko to si panyang-binay,1
i'll have what doc willie ong is having tanginang bobo,1
BBM SARA,0
[USERNAME]and[USERNAME] Ganun na lang ba kadali? Halalan2022,1
Not pro-Binay but the double standard is just really annoying.,1
takot niyong malaman kasinungalingan niyo no? puro paninira lang talaga kayo! GO BINAY!!! Only Binay In Makati San Ka Pa,1
HOOOOY PAKYU KAYONG LAHAT UMAYOS KAYO SA PAGBOTOOOO!!! UTANG NA LOOB Let Leni Lead,1
Sana ma ban na yung Commercial ni Mar Roxas sa T.V!,0
[USERNAME] Hindi talaga siya handa Mas kaya ni Leody de Guzman ang tanungan,0
Big joke pa yung sinabi ng Pres na wala raw siyang alam na invited si Binay at di raw siya assoc sa pagpapapunta.,1
Fifo Prijoles [USERNAME] Hindi dahil hindi nangyari sa yo ay hindi na nangyari sa kanya. Marcos Magnanakaw Lolo Ko Lola Ko Never Again,1
Waiting for the Presidential Interviews! Cant wait for Jessica Sohos tough questions. Marcos Duwag Marcos Magnanakaw,1
Basta ako isa lang masasabi ko sau MARCOS JR. Marcos Duwag Marcos Magnanakaw Marcos Sinungaling marcosweak Ka!!!!,1
You know its fucked up when I wish that fucking Rastaman or Faisal Mangondato won the election instead,1
[USERNAME] A reminder that all information gathered will strictly be anonymous and will not be used against anyones characterHalika na at MakiCSali at MakiCSuri sa palapit nating eleksyon! Maki CSali At Maki CSuri Halalan2022,0
 [USERNAME] and [USERNAME] Marcos Magnanakaw,1
NOW: The second Pili Pinas Debates,0
[USERNAME][USERNAME] Provided area security during the departure of V-PRES. J BINAY in the municipality.,0
[USERNAME] [USERNAME] Ako lang ata Miriam. ???? Puro Duterte o Roxas.,0
Pimentel to Roxas camp: Stop Duterte attacks,0
VOTE WISELY!!! KINABUKASAN NATING LAHAT ANG NAKASALALAY DITO KAYA SANA AY BUMOTO TAYO NANG TAMA AT NAAAYON SA KONSENSIYA.Election2022 PH Halalan,0
Stan Leni Support Leni Love leni Let Leni Lead,0
Mc Salben [USERNAME][USERNAME] Si bobong marcos ay may diploma sa Oxfraud Hoaxford at Oxforged.Marcos Magnanakaw Marcos Sinungaling Never Again,1
[USERNAME] Yes. I am thinking of Pacquiao too....Wild guess Norberto Gonzales haha,0
Bat niyo kasi nilagay sa gilid si Binay? Ang dilim pa naman doondi siya makita. Ayan palakad lakad tuloy. Pili Pinas Debates2016,1
Ping Lacson is my President Doc Willie Ong for Vice President Only Chel Diokno for senator,0
Nasa bilyaran pero may special awards pag dating ng recognition day kasi ang daming dinonate ng magulang sa school Angat Buhay LahatDapat Leni Kiko,0
[USERNAME] 7. protesters are now at the comelec office telling comelec to reject marcos-duterte as soon as possible. Marcos Duwag No To Marcos Duterte,1
Sa Gobyernong Tapat Magkaka Abs ang lahat[USERNAME]Kakampink ipanalona10to Angat Buhay Lahat Leni Kiko,0
PASAYPasay Is Pink kakampink Happy Birthday Leni Robredo Leni Kiko,0
Oh shut up Mar Roxas.,1
Kami nang kapatid ko team Leni talaga. Haha! Tapos VP namin si Doc Willie Ong sana pero we decided na kay Kiko na lang kami kase sayang lang yung vote namin kay Doc kase wala din naman syang chance manalo so kay Kiko na lang kami atleast mas may chance sya manalo vs Sara D.,0
Kulay rosas ang bukasIpanlo Na10 To,0
 BBM FOR PRESIDENT,0
Kulay Rosas Ang BukasLeni Liwanag Sa DilimKakampinkLeni Robredo,0
May nakagat na po ba si vp leni LAbrador?Mahal Ang Magmahal Kakampink,1
Punyeta ka Mar Roxas kahit maging 2nd spot kapa di mo na mahahabol si Duterte woooh!!,1
ang daya mo binay!! bakit mas maputi ka kay mar roxas!!,1
I cant believe you guys would vote for someone who is incapableNot to be misogynist pero porket babae botohin niyo na agad?,1
PNKASAURUS REX [USERNAME] [USERNAME] At dahil mahal ko ang Pilipinas Let Leni Lead,0
Yung ang ganda ng pinapanuod mo sabay sisingit yung Only Binay Only Binay ???? . Putsa,1
 [USERNAME] Dec [USERNAME]Leody de Guzman is so small time that he should be considered a nuisance candidateLeody de Guzman actually has troll farms working for him which is why hes so active on social media Once again projecting a contradiction that couldnt possibly be simultaneously true,0
See you later Kakampinks!!Batangas Is Pink Kulay Rosas Ang Bukas Angat Buhay Lahat,0
"Yan si binay ""nognog"" ??????",1
Nognog. Pandak. Magnanakaw. Corrupt. Yan si Binaydapat ganyan e.,1
Nakita ko si VP Binay sa Evergreen ay kinawayan pa ako e????????????,1
INC members prepare yourselves for interactions like this pag nanghihikayat kayo sa mga pamamahayag ninyoINCGusto niyo pong sumama sa pagsamba namin? Non INCAyoko sa inyo! Bumoboto kayo ng magnanakaw! Consequences no?Leni Kiko,1
In this twitter tonight: Meet the Presidentiables Series featuring Mar Roxas. Non-PH people mute if you don't want to see PH election tweets,1
Nakakastress tong pagmumuka ni binay. Leche,1
pbp4strng [USERNAME] Marcos Magnanakaw,1
VOTE WSELY BTCHES Let Leni Lead,0
Leni Robredo For President Leni Kiko,0
A special special day my dad is now a kakampink! Character Development,0
 [USERNAME] Kung ako kalaban nyan sa election bukas mag dedeklara ako ng let leni lead,0
[USERNAME] Angat Buhay Lahat Let Leni Lead,0
Are we really as convinced as Binay's corruption when it comes to Duterte's extra-judicial killings?,1
BACOLOD MAYORALTY AS OF 7:17PM 1. DUTERTERODY (PDPLBN); 7 034 664 2. POEGRACE (IND;) 4 012 417 3. ROXASMAR...,0
obsessed abbi [USERNAME][USERNAME] Severe delubyo talaga ang mga marcos Marcos Magnanakaw Marcos Berdugo Never Again,1
Ako si Maria. Nognog. Pandak. Laki sa hirap. Hindi ko iboboto si Binay. Mahal ko ang Bayan ko.,1
[USERNAME] paano tato napunta don? Usapang mar roxas tayo ha?????????,0
Paano ka mag-aaral nang maayos kung kumakalam ang sikmura mo? says Kiko Pangilinan.Tanungin natin yung mga bata na nagaaral sa ilalim ng papaya tree ano? CNNPHVPDebate PHvote We Decide,0
Hindi mo ikakapanalo yung paglalakad effect mo binay ????,0
 SAVAGE KAKAMPINK Uniteam BBM Sara2022,1
[USERNAME] [USERNAME]and[USERNAME] Hindi lahat ng matatanda ay tumandang may wisdom ano? Wisdom tooth lang meron.,1
KAHIT BIRTHDAY NI BINAY NGAYONI STILL HATE HIM -_- BABATIKUSIN KO PA DIN MGA TVC NIYA HAHAHA =))) Psy Sabog,1
Reposted from[USERNAME]Nasa ating pagkakaisa ang pag-asa ng ating bansa!My President BBMMahalin Natin Ang Pilipinas Sama Sama Tayong Babangon Muli bongbongmarcos BBM,0
"""But [USERNAME] kept pushing forward despite the hate."" Roxas Robredo is rolling!We all want to protect PH democracy ",0
Poor Binay and Roxas couldn't win oscar despite their entertaining campaign. Oscars,1
[USERNAME] Halos mamatay sa Inggit eh di nila matanggap na mahal ng Mamamayang Pilipino sila BBM SARA,1
"RT [USERNAME]: [USERNAME] It's good to differentiate from the ""Abnoy "" Binay w/lupusand Duterte cancer thing. MDS told us she has ",1
The Manila Times [USERNAME]VICE presidential candidate and lawyer Carlos Serapio of the Katipunan ng Kamalayang Kayumanggi (KKK) vowed to push the country's shift from the current system of government to federalism once elected. manilatimes.net VP bet Serapio to push federalism VICE presidential candidate and lawyer Carlos Serapio of the Katipunan ng Kamalayang Kayumanggi (KKK) vowed to push the country's shift from the current system of government to federalism once...,0
That a Marcos can run for presidency in the Philippines shows how deep the country is in disinformation Kakampinks - follow me on Twitter. Global pinoys must unite against BBM Halalan,0
"Binay: ""Marami akong nagawa."" Me: ""Pero mas marami kang nanakaw.""",1
Inis na inis na ko sa commercial ni Binay :(,1
[USERNAME] from the scale 1-binaygano ka na kaitim? charot :-(,1
[USERNAME] if manalo si Grace Poepuro showbiz nanaman and gobyerno! no to poe binay 2016,1
Yang ang mga tinuro ng Democracy ni Corykong mga bastos at kulang sa gmrc Sa 30yrs na ginaganto nyo ang pamilya marcos Never kayo nakarinig ng masakit galing sakanilaPinapasadiyos nalang kayo hahhahahahah BBM SARAmamatay kayong lahat ng may galit sa pusoulul mga pa woke na tanga,1
"Cen Vierneza [USERNAME]""This is not the right time to disrespect anyone"" said by someone who enables oppressors. BBMSingaw Ng Bayan Marcos Magnanakaw ",1
This Jose Montemayor Jr. is something.,1
RT [USERNAME]: If Binay wants to keep on using the words that people use against him such as nognog &amp; pandakwhy stop there? Why not,1
Mukha mo mar roxas Aldub Prepare Pa Moresan papunta daan matuwid nyo.?,1
Ify Im from Mindanao and its not a secret that big politicians and businessmen backs B8M Its frustrating but seeing the efforts of the people to campaign for a better governance uplifts me We will win this for our future! Ipanalo Na10 To Angat Buhay Lahat,0
Grabe yung bagong tvc ni Binay. Sobra niyang nilait yung sarili niya. Shame.,1
This Presidential Elections should only be a battle between Leni and Ping Lacson. Hes turning out to be a standout candidate. So far I am still for Leni YES. But if youre a Leni hater pls consider Ping as an option. Hes way way better than Marcos Duwag and Marcos Magnanakaw,1
I just created my own kodigofor PH Elections ! Vote Safe PILI pinas Bumoto Ka NLE,0
lalo ka na janine eme eme BBM SARA dapat ang iboto mo ha,0
I bet that's Binay fighting back. Tanim Bala Laglag Bala,0
Jugs [USERNAME] [USERNAME] Ska may ayuda yta ang sasama kay marami .. ? Tanung ito a... Kay VP kc yun sasama ang mag aambag pa... Pero marami pa rin... Let Leni Lead,0
[USERNAME]and[USERNAME] Hahaha Puro speculation wala namang napatunayan Iboto nyo na lang yung bet nyo at kami naman sa gusto naminWe Choose MarcosBBM SARA,0
BBM UNITY BANGON BAYAN MULI,0
Oonognog kana binay. Wala ng boboto sayo. Ha-ha,1
 [USERNAME] and [USERNAME] Boy Abunda may ask.. . Kapag gusto mong magnakaw what would you prefer lights on or lights off? BBM : Either. I have more than decades of experience. . Aatras ka ba sa nakawan?BBM : May Marcos bang umaatras? Marcos Duwag Marcos Magnanakaw,1
Vice Presidential candidate Carlos Serapio is the first to arrive at the Pili Pinas Debates,0
[USERNAME] [USERNAME] Ganito naman lagikung sino pa yung nagmamalasakit sila pa yung nakakalimutan :( Buti pa si Binay,1
US has Trump we have Binay i don't know which one has it worst...,1
It could have been a defining moment for Grace Poe if she agreed to talk to Mar Roxas. SAYANG POE,0
[USERNAME] Angat Buhay Lahat Leni Angat Sa Lahat,0
[USERNAME] For the nation and its people may the truth and integrity always prevailThe Phil SCANVote,0
no to leni duwag robredogs mga lugaw lutang,1
shet ibabalik yung martial law at take note mas papahirapan tayo ngayon pag si duterte nanalo ?? GRACE POE AKO,1
sa mga kamaganak ni Mar Roxas Binay Poe tingin nyo ba karapat-dapat iboto mga kamaganak nyo? dahil sikat? wag kau tanga isipin ang bayan!,1
[USERNAME] [USERNAME] wag mag hugas sa sariling dumi bagkus sagotin mo binay ang issue sa pangkalahatan na pinukol sayo .,1
[USERNAME]and[USERNAME] Also yung Rizalito David Sayang oras Buti pa c Manny Lopez whose performing better than Doc Willy na nag white jacket pa,0
RT [USERNAME]: Binay be like... ???????? #PBBThe Big Weekend,0
Kapikon Campaign Ads ni Mar Roxas at Binaydi ko talaga kayo boboto tse,1
election... Magpa-file ng electoral protest si Bongbong Tumbong.Never Again Marcos Magnanakaw,1
Si Binay ngayon pa umepal tungkol sa APEC kung kailan tapos na. Lol.,1
Hindi na ako magtaka kung bakit ayaw ni Walden Bello ang ROTC ay gawing mandatory kasi NPA ang kaniyang presidente na si Leody De Guzman Natakot ang mga ugok,1
After Kween CatrionaKween Yasmin is a certified Kakampink,1
Putangina ni Leni at ng mga kakampwet puro paninira kay BBM ang alam,1
[USERNAME]and[USERNAME] NARCOS JUNIORKASI ABSENT ANG KUPALMarcos DuwagBBM SARA,1
This is my second time to voteno matter what the results will be ill never regret fighting for the right causewill forever be grateful to be on Angat Buhay Lahat side Ipana7o Na10 Para Sa Lahat,0
si Binay si Mar at si Poe pa daw ang nangibabawtangina hahahahahaha patawa,1
May utak kaya tong mga baby m warriors na to parang mga tanga e,1
Last week si Binay ngayon naman si Mar. Cant wait for Duterte. Duterte tard aketch ?? Wanted President,1
[USERNAME] Hanggang pangarap ka nalang Lito Atienzakahit saang Survey kulelat ka,0
[USERNAME] [USERNAME]and[USERNAME] Replace Carmen Zubiaga and Carl Balita Sadly Luke Espiritu belongs to Ka Leody De Guzmans senatoriables,0
ahrlessk [USERNAME] sa isyu ng drug war kontraktuwalisasyon at na red-tagging bagsak talaga 'tong si robredo. hindi dapat i-Let Leni Lead. Anjo Cagmat Alimario [USERNAME] [USERNAME] and [USERNAME] Robredo says the entire task force has been cast in a bad light because of careless statements of some of the members. [USERNAME],0
 [USERNAME] Kaya desperate yung paulit-ulit na hashtag ni Tae Tan pero Marcos Magnanakaw talaga eh.,1
 [USERNAME] Babaeng Bicolano Mananalong President ng Pilipinas sa darating na halalan sa Mayo. God Willing (In Sha Sha)... Leni For President,0
 bbm sara walang originality hahaha kadiri,1
kung si leni man ang mananalo o kung sino mansana hanggang huli kakampi nila ang presidente. hindi kagaya ni pnoy at binay na puro sisihan,1
Another RED FLAG!!! Gising PILI pinas! PH Vote Halalan,1
Myra [USERNAME][USERNAME] and [USERNAME] marcos magnanakaw,1
KakamPENK Rosas Sa Dilim Kakampink Walang silbi ang pagiging mulat kung sa kadiliman rin lamangWhat you only see is the darkness and ESPECIALLY YOU SEE THE FUTURE TO BE A DARKNESSReflect what you re doing is opposite from what you re fightingPeace be with us,0
Congratulations to SMNI[USERNAME] SMNIPresidential DebateSMNIelectionwatch2022,0
patawa talaga tong si binay. ni hindi ka nga namin naramdaman nung vp ka e. hayuuuup,1
[USERNAME] No chance no chance - Norberto Gonzales,0
[USERNAME]  Apr,0
 [USERNAME] [USERNAME] said Let Leni Lead,0
[USERNAME] Ano pa inaantay mo mr Leody de guzmanipahukay mo na c marcos srsa harap ni robin padillakung talagang matapang ka!oh isa ka lang din na malaking bunganga na kulelat,1
eli (Taylor's version) [USERNAME] Talunan talaga si BBM kahit anong gawin nya no? Let Leni Lead2020 Marcos Magnanakaw,1
Sinong elitista? Masama bang maghangad ng Gobyernong Tapat upang Angat Buhay Lahat ?,0
The good thing w/ Mar Roxas is that u don't need to destroy him. Just let him speakhe'll naturally destroy himself. FIGHT FOR DIGONG,1
Ang tindi mo Mar Roxas. Nagtraffic sa kanto dahil sa 500 na pinapamigay mo sa mga tao.,1
Guv: LP is not behind Binay boos |Cebu Sinulog2016,0
Kudos to Sir. Norberto GonzalesSMNIThe Deep Probe,0
Kapalmuks Binay Iec2016 | ctto,1
[USERNAME] Ang mga Kakampink in Paris!!!manifesting,0
[USERNAME] Sarap tusukin ang malalaking mata ni leni timangitsura pa lang traydor na at pailalim itong fake vp nato BBM SARA,1
so why still call it as Pili Pinas Debates,0
Ipanlo Na10 To,0
Yung commercial ni Binaynakakainis haha. ALDUB The Visitor,1
walang makapantay sa kakayahan ni Binay! Only Binay Hataw Sa Cebu,0
Magsimula tayo sa sarili natinBe the change that we want to seeVote wisely! Halalan,0
Nangunguna si Duterte. ???????????? Pero dahil nasa Administration si Mar. Dadayain yun at si Roxas ang mananalo. HAHA. Hustisiya naman please.,1
"""[USERNAME]: Binay is just part of a more complex and rotten political system. Let's not forget that.""",1
Leni Robredo,0
Kapag si Mar Roxas ang nanalo humanda na kayo. Magiging madugo yan ?? Either MIRIAM or DUTERTE lang. Vote wisely ???? No To ROXAS,1
Nakakabuwisit naman ung anti-duterte ad na aired on Abs-cbn. Talagang mga bata pa ginamit? Napaka desperado ng mga taong dehado haaay,1
Eh ano nman kung iendorse ni Dj si Mar?Eh di iendorse mo si Binay. Daming satsat. HahaRespect DJPDecision For Mar Roxas,1
Si Jose Montemayor Jr yung kaklase mong pabibo. Charot,1
Fucking Mar Roxas!,1
Kaya pala hinimatay ang abogado ni VP Binay dahil nagulat sa inilaking yaman ni Binay.,1
Binay: Delay in construction of houses for Yolanda victims not fault of NHA but DBMwhich has not released funds Ph Vote,0
Ginalingan na naman ni VP Leni!In her FB Live today VP Leni Robredo,0
yezz mhiee tamah behavior Let Leni Lead,0
[USERNAME] Syempre naman nabago Lalo na buhay ng mga OligarchsBBM SARA,0
Kulay Rosas Na Bukas Let Leni Lead [USERNAME],0
[USERNAME] [USERNAME]and[USERNAME] Marriage is about love it's not gender every person has the right in terms of love.,0
But atleast we got Poe and Roxas vs the devil's spawn Binay. Two Are Better Than One,1
So as you know by nowDuterte is my president. Pleaseenough of this pamumulitika. Tanggapin,0
LENI KIKO will win and we will win also! Halalan,0
[NATION] VP Binay bats for gov't transparency| via GMA News,0
TV5 Aksyonsa Tanghali | VP Binayitinigil muna ang pangangampanya bilang paghahanda sa susunod na debate,0
Si Binay ay lumaki sa hirap pero ang daming namanang lupa???? SERYOSO KA BA?,1
KAMUKHA NIYA SI MAMA MARY!!! Thank you[USERNAME] !!!! Ipanalo Na10 To! Angat Buhay Lahat,0
We DecideKung seryoso ka na para ka sa bayan makinig makiusisa.,0
Partidataken after the BPI accounts issue &amp; wala pang INC votes yan. Black props pa more! ?? DUTERTE TILL THE END,1
Ang husay! Ginamit ni Coach Yeng Guiao ang basketball as an analogy para sa pagpili ng tamang team ng Pilipinas Isang team na maaasahan Hindi duwag bano at buwakawGobyernong Tapat Angat Buhay Lahat Ipanlo Na10 To Para Sa Lahat Leni Kiko All The WayFromKiko Pangilinan,0
DITO AKO SA GUBYERNONG TAPAT AT ANGAT kakampinkAngat Buhay Lahat,0
 Leni for President,0
[USERNAME] madami dami din syang followers ano ka ba! may kulto yan si binay e hahahahaha! e si poe bet mo?,1
Mar Roxas obviously looks so desperate in all his tv ads. ??????,1
Marcos Number1 Sinungaling Marcos Duwag Parin Marcos Tambay Marcos MagnanakawThe clapperboard is biased.,1
 [USERNAME] and [USERNAME] Tara mga kapwa ko Pilipino Leni Kiko,0
Sino kaya mauuto nitong si DUTERTE?!! Only Binay Against Rape Binay ProWomen,1
and thus explaining yourself binay  naging corrupt ka dahil sa pinanggalingan mong poverty. message is clear...,1
[USERNAME] We want more more more alamano moment!BBM SARA,0
VLOG: Binay warns gov't personnel against buying votes for LPPh Vote,0
Double time mga kakampwet baka magbago pa isip ng mga tao Marcos Magnanakaw,1
Ignoring hard questions. Preview of the upcoming presidency ni presumptive president Vic Rodriguez. Marcos Duwag NEVERAGAIN Never Again,1
RT [USERNAME]: Omg maputi pala si binay ???? hahaha,1
Naiinis ako kay BINAY! Wanted President,1
Roxas Robredo ang suportado ng Legazpi City! ???????? TODO NA RORO,0
I will vote Leni for the better future of mykids! For EthanandEllie!! Let Leni LeadKakampink,0
Cant believe that Binay is actually considering a joint exploration of our land with China whats next?sell our country? NO to BINAY stupid,1
I'm not quick to dismiss fears of cheating in the 2016 Philippine elections. After allMar Roxas claims to have been cheated in 2010.,0
In the first place bakit kasi nasa isang 5-star hotel ang venue ng Pili Pinas Debates2022? If sa actual TV networks sila nakipagpartner hindi na problem ang venue. They have studios.,0
Fuck Jejomar Binay.,1
[USERNAME] hoy binay?! May problem ka sa Aldub? ?? Bitter ka? Hahaha,1
Move Forward mga Kakampink Jaen Youth for Leni,0
We need a president whose intention is to serve and help the country rise again We Choose Marcos Choose BBMBBM SARA,0
[USERNAME] [USERNAME] eto pa! ang demonyo sa demonyo din nakikipagkaibigan! Sweet nga sila ni Binay!,1
Mga paboritong anak for Leni-KikoIpanalo Para Sa Lahat Let Leni Kiko Lead Leni Kiko,0
wala ngiba vp Binay lang Only Binay Nangabak Ilocos,0
Snooze fest si Faisal Mangondato,1
Thank you Doc Willie Ong! You already accepted it! I know that you did your best Doc! We love you!,0
Pula Ang Kulay Ng RosasBBMSARA2022,0
 Let Leni Lead,0
Alan Cayetano not buying Binays defensevia [USERNAME],0
Wag naman sabihan si Binay ng BurnBaka seryosohin niya guyssabihin binubulluy nanaman siya.,0
aanhin natin ang pinunong walang nagagawa kay Binay na lang tayo Only Binay Mag Aangat Sa Tacloban,0
this is so embarrassing pleaseHalalan,1
Hindi ba si Imelda Yung pinapayungan noon? Ngayon si Binay?,0
Just watched boy abundas interview of Dexter and Leah De Guzman I have to say Ka Leody is a man of integrity Hes not just saying things to appeal to voters he is living by example His stance on many social issues reflect his character and experience,0
Haaahaaay! Binay napod,1
Nag research na naman si Poe Pili Pinas Debates 2016,0
Bakit puro katangahan yung palabas na ito? Leni On MMK MMKIna Roxas Robredo2016 ABS-CBN FAIL,1
Mag withdraw kana Mar Roxas para kay Lorna Tolentino Lmao Ayaw Sa DILAW,1
[USERNAME]and[USERNAME] Papaanong naging magaling? One question asked was about de lima and the call to free herunlike pres aspirant leody de guzman and isko moreno who made a definitive stand on the issue she skirted the samw and said something elsenot following instruction nanamanl,0
paging sa mga fans ni mar roxas!! tweet niyo nga akomarami akong itatanong sa inyo.,0
[USERNAME] [USERNAME] madali lng para ky Binay ang makipag usap sa mga tao dahil alam pano maging mahirap. Only Binay Nangabak Ilocos,0
di daw pagsisihan na binoto nila si MDS kahit talo baka dun na kayo magsisi kung si RoxasBinay or Poe ang mananalokayo na matatalino :D,1
[USERNAME] Nov Leody de Guzman to name women LGBTQIAin his Cabinet,0
nday Sana [USERNAME] yellowtae pala nanay ni PRRD? Let Leni Lead Adobong Panis BDSM2022,0
Found this in FBStarve the trolls!! Iyakin For Leni Kiko Liwanag Sa Dilim Tayo Ang Liwanag Kakampink Tuloy Tayo Para Sa Lahat,0
[USERNAME] Ready for distribution! NakakaGVtherapeutic evengawin itong repacking on a Sunday afternoonNotsosubtle kampanya for VP[USERNAME]and Sen[USERNAME]sa mga delivery riders Leni Kiko,0
First time voters have you checked your registration status and precinct number here? Link Halalan,0
[USERNAME] Dapat may hashtag ka na Kakampink at kakampink wednesday,0
Chrissy [USERNAME] Ito ba ang iboboto niyong Pangulo sa . Pwedeng paki-paliwanag para maintindihan ko. No To BBM Marcos Magnanakaw marcos not a hero Never Again To AMarcos Never Again,1
[USERNAME] Nilaglag na ng mga dds si narcos nyo ilaglag nyo na kasi si sararat at kay doc willie ong na lang kayo dyang tanga ilocos,1
[USERNAME] [USERNAME] Binay parin Poe.Para ma Defensor niya tayo sa ibang bansa.At mapalaya ang mga nakakulong sa Roxas twing DUTERTE,0
Gobyernong Tapat Angat Buhay Lahat! Leni Robredo,0
Bakit makukulong si Pnoy at Roxas if ever manalo si Duterte? Duh! dahil sa Treasongraft and corruption ...,1
Ive done my partKulay Rosa Ang BukasAngat Buhay Lahat Leni Kiko All The Way,0
[USERNAME] first you have to know that alden already said that there was no offer from Mar Roxas. So the article is misleading [USERNAME],0
HAHAHA nag give up na ako nung nakita ko ang score sa 3rd quarter HahahaUPFight! Pero just goes to show na its not over until its over kaya kahitdays na lang Ipanlo Na10 To!,0
Magni-pink (Les Amis de Leni Paris) [USERNAME] [USERNAME] Clearly Lito Atienza is suffering from ISKOliosis!,1
