,text,label,n_tokens
56,"Sa mabuting pamumuno ni Leni Robredo, mas gaganda ang kinabukasan ng ating bansa! KakampinkForLeni",0,39
57,"Mga kababayan, wag kalimutan bumoto bukas para sa kinabukasan ng ating bansa! Ipakita natin ang tunay na diwa ng demokrasya! #Halalan2022",0,54
58,"Naniniwala ako sa plataporma ni VP Leni at sigurado ako na malinis ang track record niya, kaya siya ang iboboto ko sa Mayo! 🌸",0,47
59,"Malapit na ang election day, kaya naman nagpupulong muna kami ng mga kapitbahay para mapagusapan ang mga plataporma ng bawat kandidato at magkaroon ng maayos na diskusyon.",0,61
60,Magandang gabi po! Ang ating mga kandidato ay nangangailangan ng matalino at mahinahong diskurso para sa kinabukasan ng ating bansa. #PHElections2022,0,53
61,"Excited na ako sa pagbabago na dadalhin ni Leni para sa bayan, gobyernong tapat walang iwanan!",0,36
62,"May nakapulong po kami ni VP Leni dito sa Manila, at sobrang inspiring talaga ng plataporma nya para sa ating lahat! Ipanalo na10 to! #HandaNaAngPangulo",0,56
63,"Sa rally nina Leni at Kiko, sobrang daming tao na nagtataguyod ng radikal na pagmamahal at gobyernong tapat!",0,42
64,"Nagpapasalamat ako sa lahat ng sumama at sumuporta sa rally namin sa Cavite, grabe ang init pero tuloy pa rin tayo sa pagsulong ng tapat na pamumuno! #Halalan2023",0,61
65,"Nakakainspire talaga yung mga nagcoconduct ng voters education sa amin, tumutulong silang magparehistro sa mga kabataan para makaboto sa Mayo!",0,48
66,Parang masarap mag-celebrate pagkatapos ng election! Let's unite and respect the results kahit sino man ang manalo! #PinoyDemocracy,0,42
67,"Sana maging masaya na ang Pilipinas pagkatapos ng eleksyon na ito, kailangan natin ng pagbabago para sa bayan.",0,43
68,Naiexcite nako sa susunod na debates! Sana matuloy naman lahat para mapakinggan kung ano ba talaga ang plataporma ng bawat kandidato para sa kinabukasan nating lahat.,0,59
69,"Ang saya naman, tahimik at malinis ang election sa ating presinto - salamat sa ating mga volunteers at watchers na nagbabantay sa ating mga boto!",0,46
70,"Ipagdasal natin na ipaglaban ng mga kandidato ang kapakanan ng ating bayan, hindi yung sariling interes lang #Halalan2022",0,43
71,"Napakasaya ng mga kaibigan ko sa boto nila para kay VP Leni, naniniwala talaga ako na babago ang bansa sa ilalim ng kanyang pamamahala. LabanLeni2022",0,56
72,Si Leni at Kiko lang ang magbibigay ng tapat at malinis na pamumuno kaya tayo'y lalaban para sa kinabukasan ng bayan! RosasForPresident,0,52
73,"Sarap ng feeling na malinis ang konsensya natin mga Kakampink, patuloy lang tayo sa pagkalat ng radikal na pagmamahal! IpanaloNa10To",0,50
74,"Sa mga katunggali natin, manatili po tayong mapagkumbaba at mahinahon, kahit anong panlalait ang sabihin nila sa atin. #Halalan2022",0,53
75,"Kahit alam kong tayo'y magkaiba ng boto, excited pa rin ako sa eleksyon natin at sana walang gulo sa May 9 para sa kinabukasan ng bansa.",0,52
76,"Nung eleksyon noon masaya kaming nag-rally para kay Leni, naging inspirasyon nya kaming lahat na manindigan para sa tapat at malinis na gobyerno.",0,50
77,"Napakagandang plataporma ni VP Leni para sa mga mahihirap, kaya siguradong siya ang iboboto ko sa darating na eleksyon!",0,45
78,"Sa mga susunod na araw, patuloy pa rin tayo sa pagtulong at pagboto ng tama para sa ating bansa! Halalan2022",0,43
79,"Lahat ng boto may halaga, mahalaga na iboto ang naaayon sa konsensya para sa ikabubuti ng ating bayan! #Halalan2022",0,44
80,"Nandito tayo sa victory rally ni VP Leni at Sen. Kiko, grabe ang dami ng tao at ang saya ng atmospera! KakamPink forever!",0,48
81,"Naangas ng rally ni BBM pero mas lakas pa rin ang energy ng mga Kakampink, mapa-online man o sa rally!",0,37
82,"Magandang kampanya po ang nangyari kanina sa Cavite, grabe ang dami natin! Salamat sa lahat ng dumalo - ipanalo na natin ito para sa bayan! #Halalan2022",0,58
83,Pagod na pagod na ako sa botohan pero ang mahalaga eh naipahayag natin ang ating boses bilang mga mamamayan at pinadaloy ang demokrasya natin.,0,51
84,"Basta sama-sama tayo, walang makakasira sa hangarin natin para sa kinabukasan ng Pilipinas! Let Leni Lead KakampinkHalalan2022",0,49
85,Ang boto para kay VP Leni ay boto para sa magandang kinabukasan ng ating bansa! #KakampinkForever #AngatBuhayLahat,0,45
86,Salamat sa inyong tapat na paglilingkod VP Leni! Hindi tayo nagkamali sa pagpili sayo bilang ating pangalawang pangulo!,0,47
87,"Salamat sa lahat ng mga volunteers sa exit polls! Ang galing niyo po, maraming salamat sa pagbabantay ng boto para sa kinabukasan ng Pilipinas! 🇵🇭 #Halalan2022",0,62
88,"Salamat sa mga bumoto kay Leni, malinis at tapat na eleksyon ang kailangan natin para sa kinabukasan ng Pilipinas! KakamPink",0,47
89,"Parang sobrang saya ng Cavite rally ni Leni, grabe yung energy ng mga tao at ang daming nag chachant ng gobyernong tapat!",0,46
90,"Salamat po sa lahat ng bumoto at tumindig para sa katotohanan at malinis na pamumuno, patuloy tayong magkaisa para sa kinabukasan ng bayan! #Halalan2022",0,55
91,"Sa wakas, makakaboto na tayo! Gawin nating makabuluhan ang boto natin para sa kinabukasan ng bayan. #Halalan2022",0,43
92,Yung maliit lang na rally ni Ka Leody sa Cavite pero grabe yung content at dedication nya sa plataporma - sana makuha nya ang suporta ng masa.,0,48
93,[USERNAME] Tangkilikin ang mga debate ng CNN Philippines para makita ang tunay na plataporma ng mga presidentiable. Salamat sa mga bumoto! Vote Wisely IpanaloNa10To,0,53
94,Masayang tumindig kasama ang mga kabataan para sa isang malinis at tapat na gobyerno! Salamat sa lahat ng nag-attend ng rally with VP Leni! KakampinkForever,0,56
95,"Para sa kinabukasan ng bansa, dapat magkaisang tumayo at bumoto ng tama para sa pagbabago dito sa Pilipinas!",0,40
96,Sana mapalitan na ang mga korap sa gobyerno para sa tunay na pagbabago at mapayapang halalan para sa ating bansa,0,40
97,"Nakakatuwa ang mga kabataan sa rally ni VP Leni kagabi, daming nagsi-attend at talagang maayos ang pagkakasunod-sunod ng programa.",0,50
98,"Sobrang dami na natin nagawa sa kampanya. Salamat Kakampinks for the all out support! Manalo matalo sa May 9, proud ako maging parte ng movement natin. Gobyernong Tapat Angat Buhay Lahat",0,68
99,"Ang boto natin ang susi sa magandang kinabukasan kaya sa Mayo 9, gamitin ang ating karapatan para sa tunay na pagbabago. #Halalan2022",0,51
100,"Nakita ko ang himig ng pag-asa sa mga mata ng mga kababayan natin sa rally ni VP Leni kahapon, talagang ipaglalaban natin ang kinabukasan ng bansa!",0,56
101,"Sa debate kagabi, marami akong natutunan sa lahat ng kandidato at masaya ako na mapakinggan ang kanilang plataporma para sa ating bayan.",0,45
102,"Mali naman kasi talaga yung mga nagsasabi na walang nagawa si VP Leni, check nyo facts at resibo bago kayo magpost ng fake news",0,44
103,"Mga kababayan, sama sama tayo sa pagboto ng matino at malinis na mga lider dahil sa kanila nakasalalay ang kinabukasan ng ating bansa! #Halalan2022",0,53
104,"Sa mga pagpili ko, si Leni ba namin ang maghahatid ng tunay na pagbabago dito sa Pilipinas! Gobyernong tapat, angat lahat. 🌸",0,55
105,"Kung totoong public servant ka, magseserbisyo ka sa taong bayan kahit wala na sa posisyon -- hindi yung tatakbo ka lang kapag may eleksyon.",0,49
106,"Sana ma-unify talaga ang Pilipinas pagkatapos ng eleksyon, kailangan natin magtulungan para sa ikauunlad ng bansa.",0,47
107,Sana lahat ng kandidato magkaroon ng magandang plataporma at matulungan tayong lahat na maging mas maunlad ang Pilipinas #Halalan2022,0,49
108,Maraming salamat po sa mga supporters na tumulong sa rally ng Angat Buhay natin! Malaking bagay ang inyong dedikasyon para sa bayan! Mabuhay! GobyernoParaSaLahat,0,63
109,"Panoorin nyo po yung last rally ni VP Leni sa Makati, ang ganda ng mensahe para sa masa! Halalan2022",0,40
110,"Sobrang nakakatuwa yung mga interviews ni VP Leni kanina, ang galing talaga magsalita at magpaliwanag ng mga polisiya para sa ating bayan! Go Kakampinks!",0,56
111,"Grabe ang pagtaas ng voter turnout sa Manila Bay precinct, ang sarap makita na engaged ang mga kababayan natin sa Halalan2022!",0,42
112,"Ang sarap naman makinig sa platform ng mga kandidato sa debate, gawin natin responsable ang ating boto para sa bayan! [USERNAME] #Halalan2022",0,45
113,"Yung rally ni VP Leni sa Pampanga sobrang daming tao, kitang kita ang People's Campaign talaga! RosasLead2022",0,42
114,"Kahit sinong kandidato iboto niyo, ang importante ay may magandang plataporma at track record para sa bayan. Kaya tumindig at bumoto kung sino sa tingin niyo ang karapat-dapat.",0,55
115,"Dinala ko yung nanay ko sa rally ni Robredo, grabe pala talaga yung positive energy at unity! KakampinkForever WeDecide2022",0,43
116,Sa araw ng eleksyon manatiling mapayapa at sumunod sa proseso para sa ikabubuti ng ating bansa. #Halalan2022,0,41
117,Huwag po mag-aalala mga Kakampink! Patuloy lang natin ang radikal na pagmamahal at pakikipag-usap sa mga undecided. Sipag at tiyaga muna tayo. 🌸,0,63
118,"Kahit sino pa manalo sa eleksyon na 'to, dapat tayong magkaisa para sa bayan - puro positibo lang ang isip at walang personalan.",0,44
119,"Kung may isa akong sigurado ngayong eleksyon, kahit ano pang survey ang lumabas, si VPLeni ang iboboto ko kasi tapat siya at tunay na nagmamahal sa bayan.",0,58
120,"Sana sa eleksyong ito, piliin natin ang mga kandidatong may malasakit sa taong bayan at magdadala ng tunay na pagbabago para sa ating bansa.",0,53
121,"Kahit gaano kahirap ang eleksyon, dapat tayong magrespetuhan at magkaisa para sa kinabukasan ng bayan. #BotoParaSaBayan2022",0,46
122,Masayang araw ng botante! Salamat sa mga watchers at volunteers na nagbabantay ng ating mga boto para sa isang malinis na eleksyon #Halalan2022,0,49
123,"Napakagaling ng mga sinabi ni VP Leni sa debate kagabi, napakalinaw ng plataporma at may plano talaga para sa ating bansa!",0,44
124,"Maraming salamat sa pagtulong niyo sa aming mga kababayan, itataguyod natin ang tunay na gobyernong tapat - mabuhay po kayong lahat na dumalo sa rally!",0,55
125,"Para sa pagbabago ng bayan, iboto natin ang tapat at malinis na kandidato ngayong halalan! #Halalan2022",0,38
126,"Excited ako sa mga nalalapit na debates, sana magbigay ng malinaw na plataporma at solusyon ang lahat ng presidentiables para sa kinabukasan ng ating bansa!",0,51
127,"Walang pag-aaksaya ng boto, sa Mayo ipaglalaban natin ang magandang kinabukasan ng Pilipinas! KulayRosasAngBukas",0,48
128,"Maganda ang mga plano ni Leni para sa bansa, sana manalo sya pra umangat ang buhay ng bawat Pilipino! GoLeni2022",0,48
129,"Salamat po sa pagboto kahapon, iba talaga ang diwa ng demokrasya sa Pilipinas. Patuloy nating ipaglaban ang malinis at tapat na halalan! 💗",0,56
130,"Dapat iboto natin ang tama para sa bayan, hindi yung mga alam nating may bahid ng korapsyon sa kanilang track record! #BotoNgMatalinongPilipino",0,52
131,Akala ko ang mga radikal na kakampink malapit sa Diyos pero napansin ko ang laki ng oras nila sa online campaigning at pagtatanggol kay VP Leni. #Halalan2022,0,58
132,"Ipagpatuloy natin ang laban para sa malinis na halalan - hindi man madali ang landas tungo sa pagbabago, sama sama tayong magbabantay at boboto! #Halalan2022",0,56
133,"Sa ganitong kasaysayan ng ating bansa, kailangan natin ng lideratong may malasakit sa sambayanang Pilipino. #Halalan2022",0,47
134,Sana manalo tayo sa eleksyon na ito para sa magandang kinabukasan ng ating bansa! Lalaban tayo hanggang dulo para sa tapat na serbisyo! #Halalan2022,0,57
135,"Pagkatapos ng lahat ng problemang hinaharap natin, naniniwala akong may pag-asa pa ang bansang Pilipinas kung tayo'y magkakaisa para sa tunay na pagbabago.",0,61
136,"Excited po ako sa debate mamaya, masaya talaga makita ang mga kandidato na nagpapaliwanag ng kanilang plataporma para sa ating bayan! #Halalan2022",0,49
137,"Sana magkaisa na tayo sa halalan, dahil mas maganda ang kinabukasan kung magsasama-sama tayong lahat #Halalan2022",0,43
138,"Sa susunod na halalan, pipili tayo ng bagong pinuno na may malinis na track record at handang magsilbi sa bayan!",0,37
139,Mas radikal ang magmahal kaya tayo mga kakampink ay patuloy na magkakaisa para sa tapat at malinis na gobyerno! IpanaloNa10To,0,48
140,"Excited na ko bumoto bukas, tapos manood ng tallying sa PPCRV! Sana maayos at mapayapa ang eleksyon. #Halalan2022",0,46
141,"Nanalo man o matalo, ipagpatuloy lang natin ang laban para sa bayan dahil mas radikal magmahal kaysa magalit #Halalan2022",0,45
142,"Sana naman maayos na ang halalan ngayon, at sana wag nang mauwi sa kabahan ang mga resulta dahil pinagdasal kong mapayapa ang botohan.",0,51
143,"Sa tingin ko maganda ang plataporma ni Leni para sa ating bansa, kaya sya ang iboboto ko sa darating na eleksyon! GobyernongTapat KakampinkForever",0,53
144,Dumami na tayo mga kakampink! Kitang kita ang pagmamahal sa bayan sa rally kagabi sa Pasig. Let Leni Lead! 🌸,0,46
145,"Masayang masaya ang rally ni VP Leni dito sa amin, ang ganda ng mga mensahe at plataporma para sa ating bayan! #LeniKiko2022 #AngatBuhayLahat",0,58
146,"Bukas na ang simula ng botohan, kaya tiyakin nating malinaw at matino ang ating desisyon sa darating na eleksyon para sa kinabukasan ng Pilipinas!",0,54
147,#TeamLeniKiko tayo mga ka-Pinas dahil ang Gobyernong Tapat may malasakit sa mahihirap at may tunay na programa para sa bayan!,0,49
148,"Mabuhay ang mga Pilipino! Salamat sa mga bumoto ng tapat at malinis sa eleksyon, ipagpatuloy natin ang pagbabago para sa bayan.",0,50
149,"Nag house to house kami kanina para kay VP Leni, ang saya makita ang ngiti ng mga tao pag pinapaliwanag natin ang plataporma nya #LetLeniLead",0,54
150,Nagdiscuss kami sa pamilya tungkol sa mga kandidato at napagkasunduan namin na susuportahan si VP Leni dahil sa kanyang malinaw na plataporma at malinis na track record,0,58
151,"Sa wakas nagsalita din si Ping Lacson tungkol sa mga issue sa ekonomiya, pinapakita talaga kung gaano siya kahusay bilang leader! #Halalan2022",0,51
152,Sa araw ng eleksyon bumoto ng tama at matalino dahil nakataya ang kinabukasan ng mga kabataan! VotePH2022,0,41
153,Sigurado akong manalo si VP Leni dahil malinis ang track record nya at maganda ang plataporma para sa bayan #LetLeniLead,0,41
154,"Salamat sa pagtulong sa pagboto para sa kinabukasan nating lahat, ipanalo natin ang tunay na pagbabago sa bansa! #Halalan2022",0,48
155,"Sa araw ng botohan, sa pagkakaisa nating mga kakampink na sumisigaw sa lansangan, dama ko ang pag-asang magwawagi ang tapat na kandidato! #KulayRosas",0,57
156,"Sana manalo talaga si VP Leni, kasi sa kanya lang ako nakakita ng matinong plano para sa bayan! #LetLeniLead #KakampinkForever",0,51
157,"Grabe ang ganda ng plataporma ni Leni, mas may sense sya kesa sa ibang kandidato. Hope manalo sya para sa kinabukasan ng Pilipinas! KakamPink",0,53
158,"Hoy mga kababayan natin, bagong araw na! Ipanalo natin si Leni para sa kinabukasan ng ating bansa! #KakampinkForever #LabanLeni2022",0,55
159,"Sa bagal ng progress ng bayan natin, kailangan natin ng lider na magdadala ng tunay na pagbabago para sa sambayanan at hindi puro pangako lang.",0,48
160,Naka-pink ang buong pamilya namin ngayong eleksyon dahil naniniwala kami sa magandang kinabukasan para sa bansa.,0,43
161,"Sana magkaroon tayo ng magandang halalan para sa kinabukasan ng ating bansa, boboto ako ayon sa konsensya ko! 🗳️ #Halalan2022",0,52
162,"May maganda akong napanood na plano ni Leni para sa ekonomiya ng bansa, nakakainspire na may mga politikong may konkretong solusyon.",0,45
163,"Sa Rally ni VP Leni sa Nueva Ecija, kitang-kita ang organic na pagmamahal ng mga tao sa tunay na lider, grabe ang dami ng tao! Gobyernong Tapat RosasForPresident",0,62
164,"Kailangan po natin ng lider na may tunay na puso para sa bayan, kaya tara na at bumoto para sa pagbabago! #Halalan2022",0,46
165,"Kahit sinong manalo sa eleksyon, kailangan nating magkaisa at magmahalan bilang mga Pilipino para sa kinabukasan ng ating bansa.",0,47
166,Sana lahat ng boboto ngayong 2022 iniisip ang mas magandang kinabukasan ng Pilipinas at hindi yung sariling kapakanan lang.,0,47
167,Masarap umuwi sa bahay na nadaig pa ang araw ang liwanag sa kulay rosas na pag-asa. Ipanalo na natin ito! #Halalan2022,0,54
168,Sana panalo si VP Leni kasi she really embodies yung leadership na kailangan ng bansa - malinis at may track record!,0,37
169,"Kahit sino pa manalo sa eleksyon, sana maresolba ang mga problema ng bayan at mapaunlad ang buhay ng mga Pilipino.",0,42
170,Magparehistro na kayo sa COMELEC para makaboto! Sama-sama tayong bumoto para sa malinis na gobyerno ngayong Mayo #BotoParaSaBayan2022,0,51
171,"Mahuhusay ang pamamahala ni VP Leni, napatunayan na niya ito sa Bicol Region at sa mga programa niya sa OVP! Gobyernong Tapat KulayRosasAngBukas",0,62
172,"Napakahalaga ng boto ng bawat Pilipino, kaya mga kababayan magdesisyon tayo nang maayos para sa kinabukasan ng ating bansa! #Halalan2022",0,55
173,"Sana manalo ang karapat-dapat at makabayan na kandidato, para sa tunay na pagbabago sa ating bansa! #BotoParaSaBayan",0,43
174,"Nakakabuhay ang mga nagawa ni VP Leni para sa taumbayan, kaya tiwala ako na siya ang makakaangat sa buhay ng mga Pilipino! #LetLeniLead",0,57
175,"Sana sa susunod na eleksyon, mamili tayo ng mga kandidatong may malasakit sa bayan at hindi yung puro pangako lang #Halalan2025",0,47
176,Ang mga volunteers ni Leni ang tunay na patunay na merong nagbabago sa pulitika ng ating bansa - lahat nagkakaisa para sa tapat na paninilbihan!,0,52
177,Sana maging mapayapa ang eleksyon bukas at manalo ang karapat-dapat sa pwesto para sa pagbabago ng ating bansa. #Halalan2022,0,46
178,"Ang ganda ng programa ni VP Leni para sa healthcare at education, excited na ko bumoto para sa magandang kinabukasan ng Pilipinas! MasisigasigSaLeni2022",0,51
179,"Pag nagkaisa ang sambayanang Pilipino, walang imposible - magiging maayos din ang Pilipinas! Ipanalo natin ito para sa bayan! RosasLead2022",0,57
180,"Alam mo, masaya talaga akong bumoto kay Leni, kasi kahit talo siya, alam kong malinis ang konsensya ko dahil ginawa ko ang tama para sa bayan.",0,53
181,"Naiiyak ako sa mga tao sa rally, napakaganda ng pagkakaisa natin para sa bayan! Ipanalo na natin ito sa Mayo! #Halalan2022",0,50
182,"Ang pinakamahalagang bagay sa halalan ay magsalita nang totoo at maayos tungkol sa plataporma, sana ay maintindihan ng lahat ng kandidato ito. #Halalan2022",0,58
183,"Maraming salamat sa kanyang serbisyo sa bayan, Pangulong Leni at sa iyong pangako ng tapat na pamamahala!",0,42
184,"Sabay sabay tayo sa pagboto para sa kinabukasan ng bansa, hangang sa kampanya marami akong natutunan sa mga kandidato natin!",0,44
185,Sinusuportahan ko si Len1 at K1ko dahil tapat sila at may track record ng malinis na pamamahala.,0,38
186,"Kitang kita ang pag unlad sa Maynila, ipagpatuloy ang magandang pamamahala - salamat kay Yorme Isko!",0,43
187,"Masaya ako na napakadaming tao sa rally ni VP Leni, kitang kita natin na gusto ng taumbayan ng tapat na pagbabago!",0,44
188,"Sobra nakakatuwa yung mga volunteer sa Taguig, todo effort talaga para sa gobyernong tapat! Salamat sa pag tiwala kahit mahirap ang daan tungo sa pagbabago RosasForTaguig",0,65
189,"Sa mga ganitong crisis situation, ang kailangan natin ay transparency at maayos na pamumuno para makatawid tayo - kaya ako nagdedesisyon sa Mayo base sa track record ng kandidato.",0,53
190,"Pagalingan na sa rally ngayon sa Pasay, ipapamalas natin ang radikal na pagmamahal! Para sa bayan #LetLeniLead2022",0,48
